"species","species_as_published","V1_grey_cm3","LGN_cm3","V1_surface_cm2","horizontal_meridian_mm","whole_brain_cm3","neocortex_white_cm3","neocortex_grey_cm3","source"
"Hylobates lar","Hylobates lar",4.4,0.15,30.1,11.66,101.28,20.5,45.12,"Bush_Allman_2004_b"
"Pan troglodytes","Pan troglodytes",11.03,0.29,65.24,18.28,364.14,103.77,163.18,"Bush_Allman_2004_b"
"Homo sapiens","Homo sapiens",16.14,0.37,NA,NA,1251.85,422.48,555.36,"Bush_Allman_2004_b"
"Cercocebus torquatus","Cercocebus torquatus",5.12,0.2,NA,NA,117.08,40.36,47.92,"Bush_Allman_2004_b"
"Cercopithecus nictitans","Cercopithecus nictitans",4.14,0.12,NA,NA,64.74,11.81,35.99,"Bush_Allman_2004_b"
"Macaca mulatta","Macaca mulatta",3.26,NA,22.18,10.02,65.76,16.35,30.54,"Bush_Allman_2004_b"
"Papio hamadryas","Papio hamadryas",7.7,0.22,NA,NA,159.11,39.68,79.1,"Bush_Allman_2004_b"
"Semnopithecus entellus","Semnopithecus entellus",4.32,0.14,28.98,9.91,107.54,24.26,51.85,"Bush_Allman_2004_b"
"Alouatta palliata","Alouatta palliata",1.86,0.09,12.81,8.43,43.52,11.41,17.15,"Bush_Allman_2004_b"
"Aotus trivirgatus","Aotus trivirgatus",0.63,NA,4.69,4.8,11.42,1.74,5.23,"Bush_Allman_2004_b"
"Ateles sp.","Ateles sp.",3.13,0.12,23.27,10.2,72.41,17.95,30.93,"Bush_Allman_2004_b"
"Callicebus sp.","Callicebus sp.",0.84,0.03,6.79,5.54,11.9,1.94,5.12,"Bush_Allman_2004_b"
"Saimiri sciureus","Saimiri sciureus",1.43,NA,NA,NA,21.22,3.7,10.44,"Bush_Allman_2004_b"
"Tarsius syrichta","Tarsius syrichta",0.28,0.02,NA,NA,3.06,0.15,1.47,"Bush_Allman_2004_b"
"Eulemur mongoz","Eulemur mongoz",1.06,0.05,8.66,5.33,22.24,3.83,8.2,"Bush_Allman_2004_b"
"Galago senegalensis","Galago senegalensis",0.22,0.01,2.64,2.82,3.58,0.23,1.34,"Bush_Allman_2004_b"
"Lemur catta","Lemur catta",1.31,0.06,9.1,5.29,21,2.12,8.96,"Bush_Allman_2004_b"
"Microcebus murinus","Microcebus murinus",0.11,0.01,1.55,2.28,1.65,0.1,0.59,"Bush_Allman_2004_b"
"Nycticebus coucang","Nycticebus coucang",0.58,0.03,NA,NA,11.27,1.07,4.4,"Bush_Allman_2004_b"
"Otolemur crassicaudatus","Otolemur crassicaudatus",0.45,0.02,4.31,4.21,7.11,0.57,3.1,"Bush_Allman_2004_b"
"Perodicticus potto","Perodicticus potto",0.33,0.02,3.16,3.25,10.16,0.64,3.91,"Bush_Allman_2004_b"
