"Species_Frahm_1984"	"n"	"Area_striata_mm3"	"Area_striata_grey_matter_mm3"	"Area_striata_lamina_1_mm3"	"Area_striata_laminae_2_6_mm3"	"Area_striata_white_matter_mm3"
"Alouatta sp."	1	2461	1918	220	1698	543
"Aotus trivirgatus"	2	1203	996	113	883	207
"Ateles geoffroyi"	1	4738	3753	NA	NA	985
"Avahi l. laniger"	1	542	475	NA	NA	66.5
"Avahi laniger occidentalis"	2	527	450	64.6	385	77.2
"Callicebus moloch"	1	1524	1201	NA	NA	324
"Callithrix jacchus"	2	685	566	57.8	508	119
"Cebuella pygmaea"	1	415	363	29.7	334	51.4
"Cebus sp."	2	4703	3764	365	3399	939
"Cercopithecus ascanius"	1	5106	4272	416	3855	834
"Cercopithecus mitis"	1	5275	4232	NA	NA	1042
"Cheirogaleus major"	2	477	433	NA	NA	44.8
"Cheirogaleus medius"	2	216	199	NA	NA	17.6
"Daubentonia madagascar."	1	1355	1113	189	923	242
"Lemur albifrons"	2	1519	1253	138	1114	267
"Galago senegalensis"	1	334	301	NA	NA	32.6
"Galagoides demidoff"	2	237	214	25.6	189	22.4
"Gorilla gorilla"	1	15185	12062	NA	NA	3123
"Homo sapiens"	1	20226	14787	1704	13083	5439
"Hylobates lar"	1	5750	4574	562	4012	1176
"Indri indri"	2	1961	1648	279	1369	313
"Lagothrix lagothricha"	1	6082	4856	604	4252	1226
"Lepilemur ruficaudatus"	3	358	326	52.5	274	31.4
"Cercocebus albigena"	1	6831	5420	NA	NA	1411
"Loris tardigradus"	1	588	529	NA	NA	59.6
"Macaca mulatta"	1	6586	5343	NA	NA	1243
"Microcebus murinus"	5	144	136	15	121	8.24
"Miopithecus talapoin"	1	3048	2339	NA	NA	709
"Nycticebus coucang"	1	828	696	93.8	603	132
"Otolemur crassicaudatus"	1	548	479	NA	NA	68.4
"Pan troglodytes"	1	14597	10593	1156	9437	4004
"Papio anubis"	1	13741	10001	919	9082	3740
"Perodicticus potto"	2	552	495	NA	NA	57.7
"Colobus badius"	2	3979	3053	360	2693	926
"Pithecia monachus"	1	2130	1679	NA	NA	451
"Propithecus verreauxi"	2	1355	1106	131	974	249
"Saguinus midas"	1	1061	841	NA	NA	220
"Saguinus oedipus"	1	977	807	NA	NA	170
"Saimiri sciureus"	1	2326	1884	175	1709	442
"Tarsius sp."	2	370	349	41.2	307	21.3
"Tupaia glis"	4	179	169	19.6	149	10.2
"Tupaia minor"	2	164	152	NA	NA	12.5
"Urogale everetti"	1	136	123	15.5	108	12.7
"Varecia variegata"	1	2112	1745	NA	NA	367
